APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address
063640110,700.4319945,407.6912566,Single Family Residential,1991,4199.44,2015,142780,142780,285560,6.315834112,5.950045276,37.57949892,-1,4388.347916916739,none,-122.1297177,37.4685028,"1094 Mandela Ct, East Palo Alto, CA 94303, USA"
063252060,337.4189902,536.0990497,Single Family Residential,1952,3284.8,2015,90445,90445,180890,18.62470604,5.086133607,94.72774332,-1,5770.51656106583,attached,-122.13544174,37.46834104,"880 Runnymede St, East Palo Alto, CA 94303, USA"
063272140,164.7397218,1128.543851,Single Family Residential,1953,3991.2,2015,42025,143891,185916,17.01239533,9.858681953,167.7197948,0.923,12147.533157778898,detached,-122.13000504,37.46843329,"1100 Runnymede St, East Palo Alto, CA 94303, USA"
063262310,128.1529717,503.6715039,Single Family Residential,1949,2024.72,2015,8254,56293,64547,15.42791589,8.837250727,136.3403609,0.846,5421.46970082921,none,-122.13047514,37.46843152,"1088 Runnymede St, East Palo Alto, CA 94303, USA"
063252240,224.7247247,2878.125675,Single Family Residential,1916,8407.82,2015,462904,183882,646786,32.02818761,27.83020556,891.3510449,1,30979.856953132497,detached,-122.13608909,37.46807125,"2283 Tuscany Ct, East Palo Alto, CA 94303, USA"
063252090,643.784556,625.0227599,Single Family Residential,1930,5760.7,2015,293601,108779,402380,19.03204285,8.163445287,155.3670405,1,6727.68248528761,attached,-122.13628078,37.4682984,"846 Runnymede St, East Palo Alto, CA 94303, USA"
063195080,738.8892735,763.9602039,Single Family Residential,1954,7516.38,2015,282241,282241,564482,17.67331148,6.409488747,113.276891,0.692,8223.19123875921,detached,-122.14453933,37.46800525,"406 Oakdale Ave, East Palo Alto, CA 94303, USA"
063332530,1376.085127,478.1702723,Single Family Residential,1948,5724,2015,542567,115436,658003,14.88630214,7.988968447,118.9261981,0.769,5146.97699400997,none,-122.13968057,37.46816876,"2295 Cooley Ave, East Palo Alto, CA 94303, USA"
062243200,375.6369736,622.5798216,Single Family Residential,1946,4333.52,2015,116932,116932,233864,13.55578465,11.45830245,155.3262806,0.692,6701.3869417202395,attached,-122.15085674,37.46797284,"2207 Menalto Ave, East Palo Alto, CA 94303, USA"
063650060,597.558784,559.319031,Single Family Residential,2001,5022.52,2015,167113,167113,334226,14.82826381,9.735604599,144.3621133,0.769,6020.4541177809,attached,-122.12920143,37.46796153,"1172 Veronica Ct, East Palo Alto, CA 94303, USA"
