,APN,totVal_m2,area_m2,LU_Desc,yrBuilt,taxAmt,assdsYr,assdLndVal,assdImpVal,assdTotVal,bestRectL,bestRectW,bestRectA,bestScore,area_sqf,adu_type,lng,lat,address,ADDRESS_PO,AREA,ATTACHED_FLAG,DETACHED_FLAG,IMPROVEMEN,LESS_50K,SFHA_FLAG,FLOOD_FLAG,PUC_DESC,BLOCK,BOOK,LOT,SUBLOT,PARCEL_ID,PERIMETER,RETIRE_DAT,REV_DATE,TAXYEAR,LAND,FIXTURES,TOTAL_GROS,EXEM_HOMEO,NET_ASSESS,ASSESSMENT,TRA,PUC,SITUS_CITY,GEOMETRY_L,GEOMETRY_A,CENT_X,CENT_Y
21,63023040,329.7358645,591.6675163,Single Family Residential,1952,3868.86,2015,97547,97547,195094,18.62470604,5.062647329,94.29031829,-1.0,6368.64997870157,attached,-122.13361742,37.48162861,"2885 Illinois St, East Palo Alto, CA 94303, USA",2885 Illinois St,6684.96,1.0,,"$101,014.00 ",0.0,1.0,0.0,Single Family Residence,3,63,4,0.0,183936,325.17,,5/25/2007,2017,"$101,014 ",,"$202,028 ","$7,000 ","$195,028 ",Annual,21031.0,1.0,East Palo Alto,318.27338399999996,6368.656142,-122.1336174,37.48162861
22,63021030,395.88717599999995,710.7732128,Single Family Residential,1953,4771.24,2015,140693,140693,281386,10.656929400000001,8.051902213,85.80855341,0.5379999999999999,7650.69178525792,detached,-122.13455926,37.48235128,"2873 Fordham St, East Palo Alto, CA 94303, USA",2873 Fordham St,7454.53,1.0,,"$143,506.00 ",0.0,1.0,0.0,Single Family Residence,1,63,3,0.0,183963,364.48,,5/25/2007,2017,"$143,506 ",,"$287,012 ","$7,000 ","$280,012 ",Annual,21031.0,1.0,East Palo Alto,365.3481394,7650.699189,-122.13455929999999,37.48235128
23,63024030,860.4195836000001,662.4674878,Single Family Residential,1952,7551.48,2015,285000,285000,570000,15.906258,10.07532032,160.26064440000002,0.846,7130.733791930419,attached,-122.13305604,37.48193837,"2884 Illinois St, East Palo Alto, CA 94303, USA",2884 Illinois St,6747.75,1.0,,"$377,971.00 ",0.0,1.0,0.0,Single Family Residence,4,63,3,0.0,183955,380.16,,5/25/2007,2017,"$377,971 ",,"$755,942 ","$7,000 ","$693,000 ",Annual,21031.0,1.0,East Palo Alto,390.3329886,7130.740694,-122.13305600000001,37.48193837
24,63011020,415.4371102,603.0539734,Single Family Residential,1953,4514.04,2015,125265,125266,250531,13.93926446,5.361255561,74.73195909999998,0.192,6491.21266428026,attached,-122.13850168,37.48144241,"1651 Tulane Ave, East Palo Alto, CA 94303, USA",1651 Tulane Ave,6477.35,1.0,,"$127,771.00 ",0.0,1.0,0.0,Single Family Residence,1,63,2,0.0,184078,358.1,,5/25/2007,2017,"$127,770 ",,"$255,541 ",,"$255,541 ",Annual,21019.0,1.0,East Palo Alto,358.6596719,6491.218946,-122.1385017,37.4814424
25,63023060,427.7959704,923.0451601,Single Family Residential,1952,6077.4,2015,351365,43510,394875,16.4832959,10.07532032,166.0744861,0.9229999999999999,9935.565798800391,detached,-122.13418313,37.4814984,"2879 Drew Ct, East Palo Alto, CA 94303, USA",2879 Drew Ct,9728.63,1.0,1.0,"$44,380.00 ",1.0,1.0,1.0,Single Family Residence,3,63,6,0.0,183934,398.22,,5/25/2007,2017,"$358,392 ",,"$402,772 ",,"$402,772 ",Annual,21031.0,1.0,East Palo Alto,402.307788,9935.575412999999,-122.1341831,37.48149839
26,63013070,698.7336291,464.52036439999995,Single Family Residential,1953,5239.04,2015,162288,162288,324576,10.48717154,5.113626422,53.62747746,-1.0,5000.05075036516,none,-122.13756981,37.4812186,"1680 Tulane Ave, East Palo Alto, CA 94303, USA",1680 Tulane Ave,5040.11,,,"$165,533.00 ",0.0,1.0,0.0,Single Family Residence,3,63,7,0.0,184043,301.61,,5/25/2007,2017,"$165,533 ",,"$331,066 ",,"$331,066 ",Annual,21019.0,1.0,East Palo Alto,300.00226760000004,5000.055588,-122.13756979999998,37.48121861
27,63013140,503.2694762,781.8912504,Single Family Residential,1953,6062.54,2015,196751,196751,393502,12.78831528,8.643953846,110.54160700000001,0.615,8416.199230180559,detached,-122.13662955,37.481224,"2833 Georgetown St, East Palo Alto, CA 94303, USA",2833 Georgetown St,8871.59,1.0,1.0,"$200,686.00 ",0.0,1.0,0.0,Single Family Residence,3,63,14,0.0,184036,390.72,,5/25/2007,2017,"$200,686 ",,"$401,372 ",,"$401,372 ",Annual,21019.0,1.0,East Palo Alto,383.4125836,8416.207374,-122.1366295,37.481224
28,63015050,510.6386199,693.9858957,Single Family Residential,1953,5561.8,2015,177188,177188,354376,17.66894755,9.76795486,172.5894821,0.9229999999999999,7469.99478272523,attached,-122.13604679999999,37.48129402,"2840 Georgetown St, East Palo Alto, CA 94303, USA",2840 Georgetown St,7661.72,1.0,1.0,"$180,731.00 ",0.0,1.0,0.0,Single Family Residence,5,63,5,0.0,183983,367.47,,5/25/2007,2017,"$180,731 ",,"$361,462 ","$7,000 ","$354,462 ",Annual,21019.0,1.0,East Palo Alto,365.680277,7470.002011,-122.13604679999999,37.48129402
29,63024070,505.95350379999996,700.4121867,Single Family Residential,1952,5561.8,2015,177188,177188,354376,13.52679272,13.26248519,179.3988881,0.6920000000000001,7539.166736420129,detached,-122.13308686,37.48134709,"2862 Illinois St, East Palo Alto, CA 94303, USA",2862 Illinois St,6652.05,1.0,,"$180,731.00 ",0.0,1.0,0.0,Single Family Residence,4,63,7,0.0,183951,353.44,,5/25/2007,2017,"$180,731 ",,"$361,462 ","$7,000 ","$354,462 ",Annual,21031.0,1.0,East Palo Alto,382.9476637,7539.174031999999,-122.1330869,37.48134709
30,63023310,495.9557376,462.32754789999996,Single Family Residential,1953,4284.02,2015,114647,114647,229294,9.048904457999999,5.9629916860000005,53.95854205,0.192,4976.44749284081,none,-122.13469451,37.48128106,"2852 Fordham St, East Palo Alto, CA 94303, USA",2852 Fordham St,5320.01,,,"$116,939.00 ",0.0,1.0,0.0,Single Family Residence,3,63,31,0.0,183909,312.8,,5/25/2007,2017,"$116,939 ",,"$233,878 ",,"$233,878 ",Annual,21031.0,1.0,East Palo Alto,299.5330355,4976.452308,-122.13469450000001,37.48128106
31,63023290,450.77740700000004,559.9570787,Single Family Residential,1953,4499.16,2015,159424,92992,252416,6.786678342999999,4.995737155,33.90446116,-1.0,6027.321999418929,attached,-122.13486548,37.48102456,"2832 Fordham St, East Palo Alto, CA 94303, USA",2832 Fordham St,6446.94,1.0,,"$96,298.00 ",0.0,0.0,0.0,Single Family Residence,3,63,29,0.0,183911,334.9,,5/25/2007,2017,"$165,092 ",,"$261,390 ","$7,000 ","$254,390 ",Annual,21031.0,1.0,East Palo Alto,320.5947662,6027.327832,-122.1348655,37.48102456
